	class	kingdom	order	phylum
OTU_192	Opitutae	Bacteria	Puniceicoccales	Verrucomicrobia
OTU_193	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_194	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_195	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_196	Betaproteobacteria	Bacteria		Proteobacteria
OTU_197				
OTU_198				
OTU_199	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_2	[Spartobacteria]	Bacteria	[Chthoniobacterales]	Verrucomicrobia
OTU_20	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_200	Alphaproteobacteria	Bacteria	Caulobacterales	Proteobacteria
OTU_201				
OTU_202	Gammaproteobacteria	Bacteria	Oceanospirillales	Proteobacteria
OTU_203	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_204	Phycisphaerae	Bacteria	Phycisphaerales	Planctomycetes
OTU_205	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_206	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_207	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_208	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_209	Synechococcophycideae	Bacteria	Synechococcales	Cyanobacteria
OTU_21	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_210	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_211	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_212	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_213	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_214	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_215	Opitutae	Bacteria	[Cerasicoccales]	Verrucomicrobia
OTU_216	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_217	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_218	Verrucomicrobiae	Bacteria	Verrucomicrobiales	Verrucomicrobia
OTU_219	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_22	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_220	Cytophagia	Bacteria	Cytophagales	Bacteroidetes
OTU_221	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_222	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_223	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_224	Deltaproteobacteria	Bacteria	Myxococcales	Proteobacteria
OTU_225	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_226	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_227	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_228	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_229	Alphaproteobacteria	Bacteria	Caulobacterales	Proteobacteria
OTU_23	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_230	Gammaproteobacteria	Bacteria	Chromatiales	Proteobacteria
OTU_231	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_232	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_233	Gammaproteobacteria	Bacteria	Oceanospirillales	Proteobacteria
OTU_234	Alphaproteobacteria	Bacteria	Ellin329	Proteobacteria
OTU_235	Betaproteobacteria	Bacteria	Methylophilales	Proteobacteria
OTU_236	Gammaproteobacteria	Bacteria	Chromatiales	Proteobacteria
OTU_237	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_238	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_239	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_24	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_240	Gammaproteobacteria	Bacteria	Oceanospirillales	Proteobacteria
OTU_241	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_242	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_243	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_244	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_245	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_246	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_247	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_248	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_249	Alphaproteobacteria	Bacteria	Caulobacterales	Proteobacteria
OTU_25	Synechococcophycideae	Bacteria	Synechococcales	Cyanobacteria
OTU_250	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_251	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_252				
OTU_253	Alphaproteobacteria	Bacteria	Caulobacterales	Proteobacteria
OTU_254	Chloroplast	Bacteria	Haptophyceae	Cyanobacteria
OTU_255	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_256	Oscillatoriophycideae	Bacteria	Chroococcales	Cyanobacteria
OTU_257	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_258	Gammaproteobacteria	Bacteria	Xanthomonadales	Proteobacteria
OTU_259	Betaproteobacteria	Bacteria	Rhodocyclales	Proteobacteria
OTU_26	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_260	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_261				
OTU_262	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_263	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_264	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_265	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_266	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_267	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_268	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_269	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_27	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_270	Chloroplast	Bacteria	Haptophyceae	Cyanobacteria
OTU_271	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_272	[Spartobacteria]	Bacteria	[Chthoniobacterales]	Verrucomicrobia
OTU_273	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_274	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_275	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_276	Gammaproteobacteria	Bacteria	Oceanospirillales	Proteobacteria
OTU_277	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_278	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_279	Betaproteobacteria	Bacteria	Gallionellales	Proteobacteria
OTU_28	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_280	Betaproteobacteria	Bacteria	Rhodocyclales	Proteobacteria
OTU_281	Chloroplast	Bacteria	Chlorophyta	Cyanobacteria
OTU_282	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_283	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_284	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_285				
