contig	length	cov_mean_sample_0314	cov_mean_sample_0322	cov_mean_sample_0328	cov_mean_sample_0403	cov_mean_sample_0416	cov_mean_sample_0419	cov_mean_sample_0423	cov_mean_sample_0507	cov_mean_sample_0516	cov_mean_sample_0521	cov_mean_sample_0531	cov_mean_sample_0604	cov_mean_sample_0613	cov_mean_sample_0619	cov_mean_sample_0628	cov_mean_sample_0705	cov_mean_sample_0709	cov_mean_sample_0717	cov_mean_sample_0802	cov_mean_sample_0806	cov_mean_sample_0813	cov_mean_sample_0820	cov_mean_sample_0823	cov_mean_sample_0828	cov_mean_sample_0903	cov_mean_sample_0910	cov_mean_sample_0920	cov_mean_sample_0924	cov_mean_sample_1001	cov_mean_sample_1004	cov_mean_sample_1015	cov_mean_sample_1022	cov_mean_sample_1028	cov_mean_sample_1105	cov_mean_sample_1123	cov_mean_sample_1128	cov_mean_sample_1220
OTU_602	425	0	0.800001	0	0.475294	0.127059	0	0	0.237647	0.129412	0	0.237647	0.136471	0	0.225882	0.237647	0	0	0	0	0	0.237647	0	0	0	0	0.237647	0.230588	0.254118	0	0	0.665883	0	0	0.237647	0	0	0.237647
OTU_603	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124378	0	0	0	0	0.599503	0	0	0	0	0	0	0	0	0
OTU_600	406	0.731526	0	5.940891	9.140386	0.248768	0	0	4.362074	0.241379	0	0.987685	0.241379	7.147783	16.100982	0.995074	1.086205	1.236452	0	0	2.546796	0.985222	3.716750	4.440888	0	0	35.270936	19.596072	1.608373	6.906398	1.492611	3.379311	0	4.401481	0	0	0	0
OTU_601	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_764	426	0	3.312206	0	0	4.021127	0	1.422535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.474178	0	0
OTU_767	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_761	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_760	422	0	0.116114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.097156	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_608	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.091335	0	0	0	0	0	0
OTU_609	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_569	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_568	407	0.144963	1.550369	0	0.737100	0	0.496314	0.248157	0	0	0	0.248157	0	0	0	0	0	0	0	0	0	0	0.248157	0	0.248157	0.248157	0.744471	0	0	0	0	0	0	0	0	0	0	0
OTU_567	407	0	0.496314	0.248157	0	0	0	0	0.248157	0.103194	0	0	0	0.496314	0	0.240786	0	0	0	0	0	0	0	0	0	0	0.855036	0	0.208845	0	0	0	0	0	0	0	0	0.248157
OTU_566	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_565	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119403
OTU_564	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148585	0	0	0.238208	0	0.530660	0	0	0	0	0	0	0	0	0
OTU_563	422	0	0	0	0	0	0.232227	0	0	0	0.177725	0	0	0	0.154028	0.120853	0	0	0	0	0	0	0	0.239336	0	0	0	0	0	0	0	0	0	0	0.101896	0	0	0
OTU_562	422	0	0.220379	0	0	0	0	0.239336	0.239336	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239336	0	0.234597	0	0	0	0	0	0	0	0	0.239336	0	0	0	0.710899
OTU_1251	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_560	422	0	0	0	0	0	0.130332	0	0.111374	0.120853	0	0	0	0	0.196682	0	0	0	0	0	0	0	0	0	0	0	0.478673	0	0	0	0	0	0	0	0	0	0	0
OTU_228	427	0	0	0.337237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236534	0	0	0	0	0	0	0	0
OTU_891	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1098	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_229	402	0	0	0	0	0	0	0	0.502487	0	0	0	0	0	0.124378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.251244	0	0	0
OTU_1094	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076543	0
OTU_1097	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092040	0
OTU_1093	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_163	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_95	407	0.496314	9.371003	0	0	0.985257	1.230957	0.737100	10.847661	0.240786	2.761669	4.196558	0	5.953316	21.796064	3.754298	2.796068	5.027025	2.206387	6.113021	0.486486	3.815721	6.095820	9.567566	1.326780	0.744471	0.248157	19.076158	11.832915	8.567566	4.665845	5.859945	2.380833	1.481571	0.248157	0	1.213758	1.975429
OTU_288	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089552	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_160	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236534	1.519905	0	0	0	0	0	0.473069	0	0.236534	0	0	0	0.473068	0	0	0	0	0	0	0	0	0	3.519904
OTU_167	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_166	402	0	0	0.251244	0	0	0.084577	0	0	0	0	0.251244	0	0	0.502488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_165	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239336	0	0	0.478673	0	0	0	0	0
OTU_164	404	0.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.420794	0	0	0.250000	0	0	0	0	0	0	0	0
