contig,length,cov_mean_sample_0314,cov_mean_sample_0322,cov_mean_sample_0328,cov_mean_sample_0403,cov_mean_sample_0416,cov_mean_sample_0419,cov_mean_sample_0423,cov_mean_sample_0507,cov_mean_sample_0516,cov_mean_sample_0521,cov_mean_sample_0531,cov_mean_sample_0604,cov_mean_sample_0613,cov_mean_sample_0619,cov_mean_sample_0628,cov_mean_sample_0705,cov_mean_sample_0709,cov_mean_sample_0717,cov_mean_sample_0802,cov_mean_sample_0806,cov_mean_sample_0813,cov_mean_sample_0820,cov_mean_sample_0823,cov_mean_sample_0828,cov_mean_sample_0903,cov_mean_sample_0910,cov_mean_sample_0920,cov_mean_sample_0924,cov_mean_sample_1001,cov_mean_sample_1004,cov_mean_sample_1015,cov_mean_sample_1022,cov_mean_sample_1028,cov_mean_sample_1105,cov_mean_sample_1123,cov_mean_sample_1128,cov_mean_sample_1220
contig-65000446,381,1.060368,0.530183,0.0,0.0,0.0,0.0,0.0,0.265092,0.0,0.0,0.530184,0.0,0.648293,0.530183,0.0,0.0,0.0,0.0,0.0,1.32546,0.0,0.795275,0.690289,0.0,0.0,0.265092,0.265092,1.8503939999999999,1.307087,0.0,0.530184,0.0,0.0,1.488189,0.0,0.0,0.0
contig-14000288,863,0.0,0.234067,0.234067,0.0,0.468134,0.0,0.0,2.397452,0.0,0.836616,0.0,0.0,0.0,0.0,0.0,0.11703399999999999,0.0,0.468134,0.103129,0.0,1.812283,1.63731,4.110082,0.0,0.0,0.3511,0.287369,0.468134,0.196987,0.0,1.499422,0.585168,4.250294,0.0,0.0,0.665122,0.3511
contig-162000959,414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.927532,0.483091,0.0,0.0,0.0,0.0,0.0,2.297098,0.7294689999999999,0.7294689999999999,0.0,0.243961,8.915455999999999,3.922708,0.731883,2.425121,0.0,0.243961,0.243961,0.0,1.9057959999999998,0.731883
contig-99001003,482,0.419087,2.462657,0.209544,0.419087,0.0,0.628631,0.0,0.0,0.419087,0.0,0.419087,0.0,1.6535279999999999,3.0954349999999997,0.209544,0.0,0.0,0.419088,0.823651,0.0,0.412862,0.0,0.616182,0.0,0.0,0.419088,4.381742,0.0,0.9087139999999999,0.0,0.0,0.419087,0.0,0.0,0.0,0.0,3.771788
contig-87000116,366,1.863389,4.4945330000000006,0.959016,0.7759560000000001,1.70765,0.38797800000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8551900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551912,0.0,0.0
contig-84000186,1022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4275949999999997,0.0,0.395304,0.0,0.0,0.0,0.0,0.26614499999999996,2.9148709999999998,0.0,0.0,0.0,0.14285699999999998,1.287674,1.54599,0.7837569999999999,0.0,0.0,0.0,3.909,9.900194,1.54403,0.258317,0.784736,0.34833600000000003,0.373777,0.0,0.0,0.0,0.0
contig-82000787,360,0.805555,6.100006,0.8416680000000001,0.0,0.0,2.94444,0.0,0.0,1.405557,0.0,0.0,1.683332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4916690000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28055599999999997
contig-179000680,213,0.474178,0.0,0.474178,0.0,0.0,0.0,0.0,2.370895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.422534,0.9342719999999999,0.0,0.0,0.910798,0.0,1.802816,0.0,0.0,0.474178,0.464789,0.0,0.948357,0.0,0.0,0.0
contig-63000163,501,0.604791,10.518972999999999,0.896208,0.926148,0.0,4.347303,0.391217,0.0,0.0,0.0,0.0,0.0,0.0,0.201597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.123751,0.806389,0.201597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.512978
contig-18000571,2814,2.869224,3.405828,1.601277,0.9328360000000001,2.285358,0.699006,0.466596,0.502488,0.212153,0.49076000000000003,0.394812,0.071784,0.356788,1.089908,0.071784,0.071784,0.0,0.0,0.071784,0.0,0.130064,0.353589,1.5717860000000001,0.0,0.0,7.286082,0.215352,0.969794,0.6890539999999999,0.0,0.445274,0.374555,0.197939,0.69403,0.287136,0.211087,1.4356790000000001
contig-82000867,1417,0.142555,0.0,0.0,0.0,0.0,0.0,0.0,1.334509,0.0,0.948483,0.0,0.062809,0.0,0.064926,0.25547,0.814397,0.0,0.284404,0.5321100000000001,0.0,1.180662,1.2321799999999998,2.928725,0.9950600000000001,0.6351439999999999,0.0,2.386027,5.371914,2.1242080000000003,0.647848,1.9244869999999998,0.681721,0.47283000000000003,0.533522,0.0,0.379676,0.0
contig-49000314,1883,0.196495,0.107275,0.204461,0.160913,0.21826900000000002,0.976632,0.0,0.663834,0.107276,0.145512,1.87095,0.107276,2.353691,4.390332,0.370684,0.21455100000000002,1.0706309999999999,0.242698,1.559213,2.149229,7.971324000000001,0.34944200000000003,1.7100360000000001,0.0,0.0,0.429104,2.003717,2.3956459999999997,2.5868279999999997,0.804567,0.662241,0.45193900000000004,0.647903,0.55709,0.0,0.264471,0.486458
contig-88000691,1634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.481027,0.0,0.12239900000000001,0.0,0.123623,0.335373,0.80355,0.44002399999999997,2.487762,0.839658,0.123623,1.870257,0.9253370000000001,1.629132,4.3213,1.505507,0.48531199999999997,0.23806599999999997,0.0,2.749079,3.349452,2.959609,0.0,3.121177,0.494492,0.24479800000000002,1.370868,0.0,0.362913,0.368421
contig-97000297,565,0.178761,4.070797,0.178761,0.0,0.16106199999999998,1.787609,0.178761,1.9539819999999999,0.178761,0.0,0.536284,0.341593,0.0,0.0,0.357521,0.0,0.178761,0.0,1.327433,0.6761050000000001,0.715044,0.881416,0.357522,1.345134,0.715044,1.311504,2.3097369999999997,0.893805,0.127434,0.357522,1.7061959999999998,1.4247809999999999,0.178761,0.715044,0.0,3.0265470000000003,3.9309730000000003
contig-142000621,269,0.330855,0.375465,0.7509279999999999,1.4237950000000001,2.2342,0.0,0.375465,0.33829000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33829000000000004,0.0,0.0,0.0,0.750929,0.0,0.0,2.5985150000000004,0.375465,0.375465,3.9070650000000002,4.118955000000001,0.200743,2.6171029999999997,0.0,3.5762080000000003,1.1263940000000001,0.0,0.0,0.0,1.877325,4.115244000000001
contig-107000741,573,0.0,0.935428,0.0,0.0,0.34555,0.0,0.0,0.352531,0.0,0.0,1.6753900000000002,0.268761,0.705062,5.736479,0.24781799999999998,0.0,0.0,0.0,1.9284459999999999,0.35253,6.260036,0.705062,1.6265290000000001,0.0,0.0,0.0,1.40314,1.9284459999999999,1.689355,1.7399639999999998,1.05759,0.0,1.057591,0.0,0.0,0.352531,0.0
contig-33000289,1558,0.279204,3.268936,0.069961,0.025674000000000002,0.129653,2.018611,0.0,5.765725,0.518613,0.247112,0.023106,0.025674000000000002,1.095634,0.0,1.169447,0.264442,0.8035939999999999,0.023106,0.129653,2.099486,0.046213,3.265079,0.9935799999999999,0.069961,0.070603,0.560976,2.335687,1.058408,0.481386,0.0,1.836971,0.517972,0.228498,0.0,0.0,0.324133,0.0
contig-125000408,382,0.0,0.528796,0.528796,0.0,0.0,0.0,0.0,2.633511,0.0,0.528796,0.0,0.0,0.0,0.0,0.0,6.539257,0.0,0.0,0.0,0.0,4.518330000000001,0.973822,4.583773000000001,5.015704,2.6413599999999997,0.0,3.400521,0.0,2.369109,0.264398,3.149213,1.32199,0.0,0.793192,0.0,0.264398,0.528796
contig-24000427,3085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.411673,0.356889,0.5047,0.065478,0.0,0.0,0.0,0.0,1.77893,0.0,0.0,0.065478,0.0,0.164019,10.46223,0.032739,0.641491,0.356564,0.0,0.294652,0.270016,0.065478,0.0,0.16855799999999999,0.0,0.130956,0.0,0.0,0.418152,0.0
contig-55000058,435,0.0,0.6965520000000001,0.0,1.351725,0.852874,3.947129,0.0,0.0,1.3977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.613793,4.17931,0.0,0.232184,0.0,2.912645,2.786207,0.0,0.0,0.0,2.319541,0.464368
contig-10000206,2682,0.075317,0.112975,0.095824,0.0,0.037658,0.112603,0.0,23.153615,0.0,0.846757,0.0,0.0,0.46420600000000006,0.42953,0.0,2.8553319999999998,0.0,0.075317,0.626025,0.18792,0.783371,13.699479,1.2170020000000001,1.614467,0.632737,0.11223,1.101418,4.043998,1.125652,0.6293810000000001,4.276285,1.597688,0.6401939999999999,4.062638,0.0,1.4910510000000001,0.337062
contig-29000608,1191,0.168766,0.0,0.0,0.0,0.67842,0.0,0.0,0.169605,0.0,0.0,0.5088159999999999,0.0,1.129305,1.352644,1.188917,0.0,0.0,0.0,0.423174,0.0,0.0,0.084803,1.780016,0.0,0.0,0.084803,2.148615,0.084803,2.5021,0.5088159999999999,1.7800169999999997,0.42401400000000006,0.169605,0.9328290000000001,0.0,1.003358,0.169605
contig-58001003,828,0.609903,0.0,0.0,0.0,0.0,0.7318859999999999,0.0,0.0,0.0,0.0,0.48792299999999994,0.243961,3.503621,2.356278,0.0,0.041063,0.0,0.0,1.408213,0.7318859999999999,8.107489,0.0,0.12198099999999999,0.0,0.0,0.48671499999999995,1.513285,2.4541060000000003,0.9758459999999999,1.417876,0.48792299999999994,0.187198,0.8538629999999999,0.47101400000000004,0.0,0.0,0.48792299999999994
contig-122000528,499,0.777554,0.202405,1.012025,0.0,0.0,0.0,0.0,0.40481100000000003,0.0,0.0,0.40481100000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40481100000000003,1.204407,0.0,0.0,2.428857,3.623247,0.0,3.052104,0.40481,0.37475,0.0,0.0,0.0,0.0,0.202405,0.80962
contig-11000748,808,0.116337,0.0,0.0,0.125,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,1.012376,0.0,0.25,0.0,0.25,0.75,0.0,0.25,3.271038,0.0,0.0,0.25,1.231436,1.750001,0.335396,0.0,3.097775,1.500001,0.0,2.173268,0.0,0.5,0.5
contig-1000879.2,10362,0.05848300000000001,2.968441,0.820306,0.699287,1.921057,15.288932999999998,0.370295,0.0,0.7017939999999999,0.0,0.13646,0.019494,0.019494,0.019108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068134,0.0,0.0,3.1283540000000003,0.12478299999999999,0.0,0.05848300000000001,0.019494,0.038988999999999996,0.003474,0.0,0.0,0.15441,0.15595499999999998,1.2204190000000001
contig-162000005,406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46551800000000004,0.0,1.145319,0.746305,0.0,0.0,0.0,0.0,0.219212,0.0,0.0,0.0,0.0,0.0,0.0,1.9679779999999998,2.7413819999999998,0.497536,0.497536,0.995075,0.0,0.0,0.497536,0.0,0.8669959999999999,0.0
contig-117000918,711,0.0,0.568214,0.0,0.0,0.0,4.6891739999999995,0.284107,0.838255,0.901546,0.0,151.922688,8.012654,78.47964300000001,177.41496,0.281294,0.0,3.597753,1.9873439999999998,7.748239,4.202536,2.620253,0.0,0.849508,0.0,0.0,0.843881,0.0,0.531645,0.0,0.0,2.531648,0.8523209999999999,0.284107,0.14205299999999998,0.284107,0.0,0.0
